               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.035558,           0.0084004,            0.012539,              0.6424,             0.91415,              0.8335,             0.52236,            0.037185,           0.0087425,            0.013693,            0.004796,            0.004796,            0.004796
                  56,            0.036998,           0.0080338,            0.013082,             0.71277,              0.8759,             0.83892,             0.58328,            0.026128,           0.0086395,              0.0136,            0.004796,            0.004796,            0.004796
                  57,            0.038116,           0.0079643,            0.012139,             0.66781,             0.86007,             0.83529,             0.58363,            0.028591,           0.0086268,            0.013677,           0.0046568,           0.0046568,           0.0046568
                  58,            0.032415,           0.0079662,            0.012283,             0.71573,             0.93685,             0.86493,             0.65079,            0.022802,           0.0083341,            0.013699,           0.0045184,           0.0045184,           0.0045184
                  59,            0.031685,           0.0077001,             0.01213,             0.74378,             0.90264,             0.88692,             0.64755,            0.024808,           0.0082618,            0.012938,           0.0043809,           0.0043809,           0.0043809
                  60,            0.029302,           0.0079531,             0.01146,             0.73077,              0.9028,             0.87126,             0.65402,            0.025209,           0.0083616,            0.012759,           0.0042445,           0.0042445,           0.0042445
                  61,            0.033414,           0.0085832,            0.010547,             0.77632,             0.89338,             0.87734,             0.59894,            0.024009,           0.0083656,            0.013129,           0.0041094,           0.0041094,           0.0041094
                  62,            0.028747,           0.0079057,             0.01156,             0.74567,              0.8954,             0.87738,             0.65234,            0.024832,           0.0080043,            0.012537,           0.0039757,           0.0039757,           0.0039757
                  63,            0.028473,           0.0070126,            0.011328,             0.79004,             0.91383,             0.90339,             0.65707,            0.022291,           0.0078821,            0.012032,           0.0038434,           0.0038434,           0.0038434
                  64,            0.024552,           0.0068096,           0.0099717,             0.72596,              0.9589,             0.87622,             0.67387,            0.021255,           0.0077057,            0.011749,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025398,           0.0072602,            0.011368,              0.8138,             0.94934,             0.89827,             0.66203,            0.021168,           0.0075186,            0.012074,            0.003584,            0.003584,            0.003584
                  66,            0.028074,           0.0072623,            0.010096,             0.71519,             0.93876,             0.88391,             0.62187,            0.025361,           0.0074884,            0.011411,            0.003457,            0.003457,            0.003457
                  67,             0.03026,           0.0069366,            0.009362,             0.76137,             0.94798,             0.90093,             0.66267,            0.022593,            0.007513,            0.011925,           0.0033321,           0.0033321,           0.0033321
                  68,            0.025018,            0.006387,            0.009937,             0.85864,             0.88943,             0.91621,             0.75406,            0.018769,           0.0076805,            0.011602,           0.0032093,           0.0032093,           0.0032093
                  69,            0.023241,           0.0065558,           0.0099085,              0.8445,             0.92839,             0.91541,             0.68549,            0.019562,           0.0074363,            0.011272,           0.0030888,           0.0030888,           0.0030888
                  70,            0.023448,           0.0070227,           0.0089262,             0.83426,              0.9283,             0.92256,              0.7286,            0.018626,           0.0072359,            0.010687,           0.0029706,           0.0029706,           0.0029706
                  71,            0.023851,           0.0064462,           0.0078924,             0.88189,             0.92022,             0.94011,             0.75213,            0.017205,           0.0071862,             0.01045,            0.002855,            0.002855,            0.002855
                  72,            0.020455,               0.007,           0.0083318,             0.91009,             0.88785,              0.9434,             0.75062,            0.016604,           0.0073001,           0.0098899,           0.0027419,           0.0027419,           0.0027419
                  73,            0.025891,           0.0063871,           0.0079121,             0.86687,             0.89921,             0.90719,             0.71615,            0.018674,           0.0074593,            0.010329,           0.0026316,           0.0026316,           0.0026316
                  74,            0.022638,           0.0062794,           0.0074137,             0.88598,             0.90035,              0.9375,             0.76848,            0.017915,           0.0073348,            0.010148,           0.0025241,           0.0025241,           0.0025241
                  75,            0.021702,           0.0060593,           0.0066929,             0.90643,             0.91332,             0.94304,              0.7715,            0.017434,           0.0072467,           0.0099209,           0.0024195,           0.0024195,           0.0024195
                  76,            0.020049,           0.0061298,           0.0069339,             0.92717,             0.88781,             0.94623,             0.74814,            0.017825,           0.0071515,           0.0099177,            0.002318,            0.002318,            0.002318
